Algorithm,Version,Property,First Capital Violation,Camel Case Violation,Illegal Characters,Index Property Update,Usage
TransformHKL,1,PeaksWorkspace,False,False,False,False,122
RotateSource,1,Workspace,False,False,False,False,2
EnggCalibrateFull,1,Workspace,False,False,False,False,4
ConvertToDistribution,1,Workspace,False,False,False,False,20884
CopyLogs,1,OutputWorkspace,False,False,False,False,14557
RemoveWorkspaceHistory,1,Workspace,False,False,False,False,14
LoadNexus,1,SpectrumList,False,False,False,True,1671
LeBailFit,1,BackgroundParametersWorkspace,False,False,False,False,2
ReflectometryReductionOne,1,C0,False,True,False,False,8
ReflectometryReductionOne,1,C1,False,True,False,False,8
ReflectometryReductionOne,2,C0,False,True,False,False,21
ReflectometryReductionOne,2,C1,False,True,False,False,21
CorrectTOFAxis,1,ReferenceSpectra,False,False,False,True,10
CorrectTOFAxis,1,L2,False,True,False,False,10
RemoveExpDecay,1,Spectra,False,False,False,True,12
ISISIndirectEnergyTransfer,1,SpectraRange,False,False,False,True,1657
EQSANSPatchSensitivity,1,Workspace,False,False,False,False,4
LoadMuonLog,1,Workspace,False,False,False,False,2
GroupDetectors,1,Workspace,False,False,False,False,6
GroupDetectors,1,SpectraList,False,False,False,True,6
GroupDetectors,1,WorkspaceIndexList,False,False,False,True,6
GroupDetectors,2,SpectraList,False,False,False,True,29978
GroupDetectors,2,WorkspaceIndexList,False,False,False,True,29978
SaveNexus,1,WorkspaceIndexList,False,False,False,True,20658
LoadInstrumentFromNexus,1,Workspace,False,False,False,False,2
LoadLog,1,Workspace,False,False,False,False,10
TOFSANSResolution,1,InputWorkspace,False,False,False,False,8
GetEi,2,InputWorkspace,False,False,False,False,28593
ExportTimeSeriesLog,1,InputWorkspace,False,False,False,False,181
GoniometerAnglesFromPhiRotation,1,PeaksWorkspace2,False,False,False,False,2
GoniometerAnglesFromPhiRotation,1,MIND,False,True,False,False,2
GoniometerAnglesFromPhiRotation,1,MAXD,False,True,False,False,2
LoadMappingTable,1,Workspace,False,False,False,False,2
SCDCalibratePanels,1,PeakWorkspace,False,False,False,False,18
LoadIsawUB,1,InputWorkspace,False,False,False,False,26914
RefinePowderInstrumentParameters,2,InstrumentParameterWorkspace,False,False,False,False,0
OptimizeLatticeForCellType,1,PeaksWorkspace,False,False,False,False,495
LoadISISNexus,2,SpectrumList,False,False,False,True,3244
IndirectSampleChanger,1,SpectraRange,False,False,False,True,0
LoadNexusLogs,1,Workspace,False,False,False,False,11901
SetGoniometer,1,Workspace,False,False,False,False,87513
CalMuonDetectorPhases,1,ForwardSpectra,False,False,False,True,2
CalMuonDetectorPhases,1,BackwardSpectra,False,False,False,True,2
CalculateUMatrix,1,PeaksWorkspace,False,False,False,False,655
PoldiPeakSearch,1,InputWorkspace,False,False,False,False,2
PatchBBY,1,L1,False,True,False,False,2
MaskBTP,1,Workspace,False,False,False,False,13965
AddPeak,1,PeaksWorkspace,False,False,False,False,3841
AddPeak,1,TOF,False,True,False,False,3841
FindUBUsingFFT,1,PeaksWorkspace,False,False,False,False,1654
ExponentialCorrection,1,C0,False,True,False,False,114
ExponentialCorrection,1,C1,False,True,False,False,114
CopyInstrumentParameters,1,OutputWorkspace,False,False,False,False,43
LoadIDFFromNexus,1,Workspace,False,False,False,False,2
BinWidthAtX,1,X,False,True,False,False,19
AddLogDerivative,1,InputWorkspace,False,False,False,False,6
AddSampleLogMultiple,1,Workspace,False,False,False,False,2834
EditInstrumentGeometry,1,Workspace,False,False,False,False,13652
EditInstrumentGeometry,1,SpectrumIDs,False,False,False,True,13652
EditInstrumentGeometry,1,L2,False,True,False,False,13652
EditInstrumentGeometry,1,DetectorIDs,False,False,False,True,13652
CalculateMuonAsymmetry,1,Spectra,False,False,False,True,6
FindUBUsingMinMaxD,1,PeaksWorkspace,False,False,False,False,6
PowerLawCorrection,1,C0,False,True,False,False,2
PowerLawCorrection,1,C1,False,True,False,False,2
DeleteLog,1,Workspace,False,False,False,False,4
MaskDetectorsInShape,1,Workspace,False,False,False,False,924
EnggFitDIFCFromPeaks,1,DIFA,False,True,False,False,10
EnggFitDIFCFromPeaks,1,DIFC,False,True,False,False,10
EnggFitDIFCFromPeaks,1,TZERO,False,True,False,False,10
WienerSmooth,1,WorkspaceIndexList,False,False,False,True,4
ShowPossibleCells,1,PeaksWorkspace,False,False,False,False,331
CalculateCountRate,1,Workspace,False,False,False,False,2
EnergyWindowScan,1,SpectraRange,False,False,False,True,5
ConvertFromDistribution,1,Workspace,False,False,False,False,2889
Comment,1,Workspace,False,False,False,False,2
IndexSXPeaks,1,PeaksWorkspace,False,False,False,False,1
MergeLogs,1,Workspace,False,False,False,False,2
CatalogDownloadDataFiles,1,FileIds,False,False,False,True,4
SANSMaskWorkspace,1,Workspace,False,False,False,False,829
SANSMove,1,Workspace,False,False,False,False,3324
EQSANSResolution,1,InputWorkspace,False,False,False,False,10831
SassenaFFT,1,InputWorkspace,False,False,False,False,30
CorrectLogTimes,1,Workspace,False,False,False,False,327
PoldiAutoCorrelation,5,InputWorkspace,False,False,False,False,2
RemoveLogs,1,Workspace,False,False,False,False,4035
PDLoadCharacterizations,1,SpectrumIDs,False,False,False,True,209
PDLoadCharacterizations,1,L2,False,True,False,False,209
MuscatFunc,1,NR1,False,True,False,False,0
MuscatFunc,1,NR2,False,True,False,False,0
MuscatFunc,1,NQ,False,True,False,False,0
MuscatFunc,1,NW,False,True,False,False,0
UpdateInstrumentFromFile,1,Workspace,False,False,False,False,28
SetDetScale,1,Workspace,False,False,False,False,5
