Algorithm,Property Name,Clashing Algorithm, Possible Name Duplicates,usage
SetupEQSANSReductionv1,TransmissionBeamRadius,SetupHFIRReductionv1,BeamRadius BckTransmissionBeamRadius ,10888
Integrationv1,RangeUpperList,DetectorEfficiencyVariationv1,RangeUpper ,217067
MedianBinWidthv1,BinWidth,VesuvioL1ThetaResolutionv1,ThetaBinWidth ,6
ReflectometryReductionOnev2,WavelengthMax,SaveLauenormv1,MaxWavelength ,21
PoldiFitPeaks1Dv1,PeakFunction,PawleyFitv1,PeakProfileFunction ,4
ReflectometryReductionOneAutov2,WavelengthMax,SaveLauenormv1,MaxWavelength ,38
ProcessBackgroundv1,OutputBackgroundType,SavePlot1Dv1,OutputType ,12
SetupEQSANSReductionv1,MaskedDetectorList,ExtractSpectrav1,DetectorList ,10888
SaveLauenormv1,MaxWavelength,ReflectometryReductionOneAutov1,WavelengthMax ,35
SetupEQSANSReductionv1,SensitivityDarkCurrentFile,SetupHFIRReductionv1,DarkCurrentFile ,10888
IndirectCylinderAbsorptionv2,SampleRadius,MultipleScatteringCylinderAbsorptionv1,CylinderSampleRadius ,25
SNSPowderReductionv1,CropWavelengthMax,EQSANSResolutionv1,MaxWavelength ,757
SpecularReflectionPositionCorrectv2,SampleComponentName,ClearMaskFlagv1,ComponentName ,19
FlatPlatePaalmanPingsCorrectionv1,SampleChemicalFormula,IndirectTransmissionv1,ChemicalFormula ,43
ChopDatav1,IntegrationRangeUpper,FindSXPeaksv1,RangeUpper ,361
SpecularReflectionPositionCorrectv1,TwoThetaIn,USANSSimulationv1,TwoTheta ,2
ReflectometryReductionOneAutov2,FirstTransmissionRun,PlotAsymmetryByLogValuev1,FirstRun ,38
MSDFitv1,XEnd,PlotPeakByLogValuev1,EndX ,8
Symmetrisev1,XMin,GSASIIRefineFitPeaksv1,MinX ,6
CreateTransmissionWorkspaceAutov1,WavelengthMax,AlignAndFocusPowderFromFilesv1,CropWavelengthMax ,124
ReflectometryReductionOnev1,WavelengthMin,AlignAndFocusPowderFromFilesv1,CropWavelengthMin ,8
LeBailFitv1,MinimumPeakHeight,GetDetOffsetsMultiPeaksv1,MinimumPeakHeightObs ,2
DiffractionFocussingv2,GroupingFileName,PDToGUDRUNv1,GroupingFile ,6450
OSIRISDiffractionReductionv1,ContainerScaleFactor,IntegratePeaksCWSDv1,ScaleFactor ,6
