id,Title,State,Created At,Updated At,Assignee,isPR,Author,milestone
16018,"Fit plot improvements in MuonAnalysis: keep fit curves, set current data",closed,2016-04-28,2016-05-02,KarlPalmen,Y,tom-perkins,Release 3.7
16017,Improvements to plot changes in MuonAnalysis,closed,2016-04-28,2016-05-02,tom-perkins,N,tom-perkins,Release 3.7
16016,Refactor LoadEventNexus,closed,2016-04-28,2016-08-18,peterfpeterson,Y,wdzhou,Release 3.8
16015,Fix an issue with splitting logs in alogrithm FilterEvents,closed,2016-04-28,2016-05-17,,N,wdzhou,
16014,Make constructor explicit.,closed,2016-04-27,2016-04-28,martyngigg,Y,quantumsteve,Release 3.7
16013,Incorrect convolution when uneven domains,closed,2016-04-27,2016-05-09,mantid-roman,Y,jmborr,Release 3.7
16012,Plot spectrum wrong when x values are backward,closed,2016-04-27,2016-06-03,VickieLynch,N,VickieLynch,Release 3.8
16011,New HFIR BioSans Wing detector,closed,2016-04-27,2016-06-10,ricleal,N,ricleal,Release 3.8
16010,Documentation for Pearl powder diffraction script,closed,2016-04-27,2016-04-28,FedeMPouzols,Y,shahrozahmed1,Release 3.7
16009,Indirect -  IqtFitSequential algorithm,closed,2016-04-27,2016-05-16,KarlPalmen,Y,ElliotAOram,Release 3.7
16008,Fix result table regression in MuonAnalysis and add test,closed,2016-04-27,2016-05-04,raquelalvarezbanos,Y,tom-perkins,Release 3.7
16007,Indirect Elwin - Ungroup Elwin Output,closed,2016-04-27,2016-06-20,ElliotAOram,N,ElliotAOram,Release 3.8
16006,"Add ""empty"" markers in pyplot.plot",closed,2016-04-27,2016-04-29,FedeMPouzols,N,FedeMPouzols,Release 3.7
16005,Multiple runs in sequence in the single peak fitting tab - Engg GUI,closed,2016-04-27,2016-08-17,shahrozahmed1,N,FedeMPouzols,Release 3.8
16004,Fix bug with complement rule parsing in Object::procString,closed,2016-04-27,2016-04-28,NickDraper,Y,martyngigg,Release 3.7
16003,MuonAnalysis: fix regression and add test,closed,2016-04-27,2016-05-04,tom-perkins,N,tom-perkins,Release 3.7
16002,Indirect BayesQuasi - Fix Pylint Warnings,closed,2016-04-27,2016-04-27,ElliotAOram,N,ElliotAOram,Release 3.7
16001,Default extension in powder diffraction interface ,closed,2016-04-27,2016-04-27,peterfpeterson,Y,wdzhou,Release 3.7
16000,Correct the bad example of FitPeak in doc test,closed,2016-04-27,2016-04-27,rosswhitfield,Y,wdzhou,Release 3.7
15999,hexahedron incorrectly treated as a cuboid,closed,2016-04-26,2016-05-12,LamarMoore,N,quantumsteve,Release 3.7
15998,Indirect - Add Workflow diagram to SimulatedDensityOfStates algorithm,closed,2016-04-26,2016-05-11,NickDraper,Y,ElliotAOram,Release 3.7
